hmm	cutoff
TodA	300
TodB	100
TodC1	658
TodC2	252.7
TodD	179.821
TbuA1	246.489
TbuA2	188.638
TbuB	73.549
TbuC	285.849
TbuU	166.800
TbuV	145.543
TomA1	310.018
TomA2	59.269
TomA3	226.627
TomA4	111.113
TomA5	329.824
TmoA	498.511
TmoB	46.804
TmoC	43.363
TmoD	146.127
TmoE	230.524
TmoF	213.4
bssA	566.673
bssB	131.90
bssC	36.3
xylA	379.9
xylM	167.133
touA	204.937
touB	112.475
touC	55.313
touD	141.720
touF	125.048
xylA	379.9
xylM	167.133
edoA1	665.5
edoA2	47.252
C12D	250.176
C23D	131.215
bedC1	234.871
bedC2	98.037
ndoB	610.1
benzaldehyde	253.671
aryl	228.358
